brickname,brickid,coverage_class_exact_indicator
0022m600,44324,required
0022m602,43606,required
0022m605,42894,required
0022m607,42186,required
0022m667,26881,required
0022m670,26315,required
0022m672,25755,required
0022m675,25201,required
0022m677,24651,required
0022m737,13242,required
0022m740,12842,required
0022m742,12448,required
0022m805,4561,required
0022m807,4325,required
0022m870,460,required
0023m465,90800,required
0023m470,88824,required
0023m472,87844,required
0023m475,86868,required
0023m535,64869,required
0023m537,64013,required
0023m540,63163,required
0023m542,62319,required
0023m545,61479,required
0023m547,60645,required
0023m550,59815,required
0023m610,41484,required
0023m612,40788,required
0023m615,40098,required
0023m617,39412,required
0023m620,38732,required
0023m680,24107,required
0023m682,23569,required
0023m685,23037,required
0023m687,22511,required
0023m745,12060,required
0023m747,11678,required
0023m750,11302,required
0023m810,4095,required
0024m395,120303,required
0024m397,119193,required
0024m400,118087,required
0024m405,115887,required
0024m407,114793,required
0024m410,113703,required
0024m412,112617,required
0024m415,111535,required
0024m480,84930,required
0024m482,83968,required
0024m485,83010,required
0024m487,82058,required
0024m490,81110,required
0024m492,80166,required
0024m495,79228,required
0024m552,58991,required
0024m555,58171,required
0024m557,57357,required
0024m560,56549,required
0024m562,55745,required
0024m565,54947,required
0024m567,54153,required
0024m622,38058,required
0024m625,37390,required
0024m627,36726,required
0024m630,36068,required
0024m632,35416,required
0024m690,21991,required
0024m692,21477,required
0024m695,20969,required
0024m752,10932,required
0024m755,10568,required
0024m812,3871,required
0024m872,386,required
0025m417,110457,required
0025m420,109383,required
0025m422,108313,required
0025m425,107249,required
0025m427,106189,required
0025m430,105133,required
0025m432,104081,required
0025m435,103033,required
0025m437,101989,required
0025m440,100949,required
0025m497,78294,required
0025m500,77364,required
0025m502,76440,required
0025m505,75520,required
0025m507,74606,required
0025m510,73696,required
0025m512,72792,required
0025m570,53365,required
0025m572,52583,required
0025m575,51805,required
0025m577,51033,required
0025m580,50267,required
0025m582,49505,required
0025m635,34770,required
0025m637,34130,required
0025m640,33494,required
0025m642,32864,required
0025m645,32240,required
0025m697,20467,required
0025m700,19971,required
0025m702,19481,required
0025m757,10210,required
0025m760,9858,required
0025m815,3655,required
0025m817,3445,required
0026m442,99915,required
0026m445,98885,required
0026m447,97859,required
0026m450,96837,required
0026m452,95819,required
0026m455,94807,required
0026m457,93799,required
0026m460,92795,required
0026m515,71892,required
0026m517,70998,required
0026m522,69222,required
0026m525,68342,required
0026m527,67466,required
0026m530,66596,required
0026m585,48749,required
0026m590,47253,required
0026m592,46513,required
0026m595,45779,required
0026m647,31622,required
